,text,new_label
0,হালার পুত মদ খাওয়ার সময় রাতের বেলা মদ খাই দিনের বেলাও মাঝেমধ্যে খায় ম চ সময় একটু চুদাম ইচ্ছা চুদার লাইনে দারা একজন একজন জাবি,bully
1,জন্ম প্রক্রিয়ার সময় মায়ের ভিতর বাবা হুমায়ুন কবিরের শুক্রাণু ঢুকে কারো তাইলে কেম্নে শিউর হইলেন উনিই বাবা কাজের সময়ে দেখেননি আপনাকে জারজ জাউরা বললে ভুল পাক্নামি ছাইড়া দিয়া অভিনয়টা ভাল আমাগো আমজনতারে এইসব শুনাইয়েন,bully
2,ধজভংগ দের ভায়াগ্রা লাগবো ধংস কুলখানকিরা,bully
3,বোকাচোদা একটা,bully
4,তোর দেশে ফেরার অপেক্ষায় রইলাম জেলে একটা কামরা বুক থাকল,bully
5,বাংলাদেশ ফেসবুক ইজ বিনোদন,bully
6,ক্ষমা মালিক উপরওয়ালা ক্ষমা দিলে মানুষের কিইবা ৯০ ভাগ মুসলমানের দেশে স্পর্শকাতর বিষয় কথা বলাই সঙ্গত সেলিব্রেটিদের পাশ্চাত্যের দেশ,bully
7,ক্ষমা চেয়েছেন বড় কথা ক্ষমা মালিক আল্লাহ একজন মুসলমান হিসেবে ক্ষমা দিচ্ছি আপনাকে সকলেরই উনাকে ক্ষমা দেয়া,bully
8,রিভিউ বারানোর জন্যই জতো নাটক ফালতু,bully
9,আপনাদের সকলের একটা বিষয়ে অনুরোধদয়াকরে মহিলা ওনাদের মত ধর্ম ফ্যাসাদকারীদের নিয়া নিউজ তৈরি নাকেননা টেররিস্টদের অধিক ভয়ানক শান্তিপূর্ণ স্থানের বুকে এরাই অশান্তি সৃষ্টিকারী,bully
10,দেশের পোলাপাইনদের কোন কাজকাম একটা ফুটপাতের মেয়ের ফালতু একটা কথাকে ভাইরাল মাদারচুদ নাটক চলতেচেনা মিডিয়া সজাক হওয়ার এসব নাটক দেখবেন কাল লাইভে ক্ষমা চাইল আজব এসব জারজ সন্তান দের দেশের অবস্থা,bully
11,প্রকারের ক্ষমা চাওয়ার পড়ে জানিনা ভুল থাকি ওয়াও ক্ষমা চাইতে ক্ষমা পাওয়ার অনুভব কারো বিশ্বাসে আঘাত মানে বিশ্বাসে আঘাত করেনিসবারই মন ভাসনা কখন কখনো সমাজে ফসকে পড়ে বেলায়ও হয়েছে সম্ভব থাক বাদই দিলাম পরি শেষে বলব ক্ষমার মালিক সয়ং আল্লাহ তিনিই ক্ষমাকারি ভবিষ্যতে নিন্দা ছাড়া উপহার পারবো,bully
12,বাহ বাংলার ফেইসবুক সমাজ একজনকে বাজে অকথ্য অশ্লীল ভাষায় গালিগালাজ ধর্ম পথে ফিরিয়ে এসেছে আলহামদুলিল্লাহ,bully
13,জায়েদ খান টা খান লাগাইসে আরে আবাল দল আলম নাম হিরো হিরো আলম সাবলীল কথা খারাপ সময়ে মানুষের পাশে দাঁড়ানো বুকের অসীম সাহস হিরো আলম বানিয়েছে বাংলাদেশের মানুষ তোদের আবালদের ছবি এমনিতেও ভালো মানুষ যায় মানুষ ছোট দেখিস তোর অওকাত যানতোরা ঘেউ ঘেউ এফডিসি পর্যন্তই পারবি,bully
14,ভয় পান মুর্খ আবাল চোদাদের গালি খেতেই চাপে পড়ে নতি স্বীকার করবেননা,bully
15,কুত্তার ঘরে ঘোড়ার বাচ্চা আশা যায় মুরগী কবির জারজ চেয়ে আশা যায়,bully
16,কাশফুলের গরম ছোয়া,bully
17,তুই বালের বাঙ্গালিসারাদিন জিন্স টপস পইরা নটীবাজি মাগীগিরি করস ওগুলো আমলের বাঙ্গালির পোষাকএকদিনে বাঙ্গালি সাইজা ভং ধরিস চুদাস কথা করসস দিয়া,bully
18,ভাই তুই শরীর প্রদর্শনের লিংক দে চাই দেখমূ ত মারমু দে তুই,bully
19,পুটকি দিয়া হইছে,bully
20,নারীর সৌন্দর্য নগ্নতায় আবরনে এখান দৃশ্যমান,bully
21,ভেবেছিলাম তুই একটা ছেলে দেখি একটা হিজরার জন্যেই সমকামিতার অধিকারের লম্ফঝম্প মারে শালা সমকামির বাচ্চা,bully
22,বাহারি অচল মাল,bully
23,নূর হোসেন চুদা ত নবী শিখছো দাসী চুুদছে পরের স্ত্রী চুদেছে খালাতো বোন চুদতে খেয়ে মেরাজের গল্প আটছে পালক পুত্রের স্ত্রী তোরা ত উম্মত,bully
24,জায়দে তুই কেডা রে অাসছোস বাংলা চলচিএে জীবন নাম দুরে থাক তোর একটা ছবি নামও শুনি হাহাহা অাবাল চোদা ৯৬ অার বাংলা ছবি দেখি নি শালমান শাহ মারা যাবার যাইহোকজনাব জায়েদ যতই বড় বড় কথা অাপনারাও হিরো অালমের জনপ্রিয়তার ধারে,bully
25,গালি মুড বাইঞ্চোদ রে গালি দিলাম নাইলে ১ শুয়োরের বাচ্চা২ কুত্তার বাচ্ছা৩ হারামির বাচ্চা৪ হারামি৫ হারামজাদা৬ হারামখোর৭ খাঙ্কিরপোলা৮ খান্কি মাগির পোলা৯ চোদনা১০ চুদির ভাই১১ চুতমারানি১২ চুদির পোলা১৩ তর মায়রে চুদি১৪ তর মায়রে বাপ১৫ শালা১৬ শালার পো শালা১৭ হুমুন্দির পুত১৮ মাঙ্গির পুত৯ নাটকির পো২০ ল্যাউড়ার পুত২১ হাউয়ার পো২২ হাউয়ার নাতি২৩ চুদানির পো২৪ ভুদার বেটা২৫ লটির পো২৬ লটির বেটা২৭ ভেড়াচ্চোদা৩১ মাউড়া চোদা৩২ গুয়ার ভিতরে হোগার ভিতরে ভইড়া দিমু ৩৩ ঠ্যাঁঙ কাইট্টা পুটকি দা ভইরা দুম ৩৪ হালা ল্যাওড়া চোদা৩৫ বানচোত৩৬ কুত্তাচোদা৩৭ তর পুটকিত ধান ছড়াইয়া চড়ুই দিয়া খাওয়ামু ৩৮ বালি দিয়া চুদমু তরে খাঙ্কি মাগী ৩৯ বালের রয়েল বেঙ্গল উকুন ৪০ তোর হউরিরে ডিগবাজী৪১ ছি ছি ছি৪৫ আল বদর৪৬ তোর জাঙ্গীয়া খুইল্যা আগুন লাগায় দিমু ৪৮ বাল ফালায়া খালে নামানো৪৯ বাল ফালায়া আটিঁ বান্ধা ৫০ বালে বালে গিট্টু গোলাম আযম মইত্যা নিজামী গেলমান তিনকোনা৫ তৃনভোজ৫ চতুরচোর৫ মহাবুবস্ বাপের বাল ফালায়৫৯৷ ভোদাই৬০৷ ভোদার বাল৬১৷ বাল৬২৷ বাল ছাল৬৩৷ ধোনের বাল৬৪৷ ধো,bully
26,নুনু,bully
27,খানকীর ছবি দেখলেই ঘিন্না,bully
28,বোরখা ফেসবুকে ছবি দিলে নাহ সারা বছর বোরখা পরতে,bully
29,পাছা কবীর দামী লুংগী চুরি ভেগেছেএখন লুংগী পড়ে ঘুরে বেড়ায় লং স্কার্ট,bully
30,পরকালে বিশ্বাস মুসলমান ধর্মীয় আসে যায় ইহকালের ঠেলা আপাতত সামাল দিয়ে চল সময়কালে বিশ্বাস অবিশ্বাস সুযোগ পাবে,bully
31,আসলে শরষের ভিতরেই ভূত সরকার স্বার্থ হাসিল জালে আটকে মানুষ বিবেকের তাড়নায় সত্য কথা বললেই সরকারের সমালোচনা রাষ্ট্রদোহী মামলা প্রিয়া সাহার খুটির জোর আসল কোথায় এতো বড় অপরাধ আদালত মামলা খারিজ দেয় বোঝার বিষয়,bully
32,গ্রামের নাম কুকিকালিদাস জন্ম গ্রামের মুসলিম লোকদের হিন্দু সম্প্রদায়ের লোকজনের সাথে উঠাবসা ফেসবুক ফ্রেন্ড লিস্টে বন্ধুই সাথে দাদা দিদি কাকা পিসি পারবেন পারবে মুসলিমরা ক্ষতি করেছেআমাদের গ্রাম অসাম্প্রদায়িক জায়গা মিষ্টির দোকান হিন্দু সম্প্রদায়ের লোকজনেরই যেখান জিলাপি কিনে মসজিদে মিলাদ পড়ানো মুসল্লি চিন্তা নিশ্চিন্তে মিলাদ শেষে জিলাপি খেতে খেতে বাড়ি যায় বড়িয়াহাট বাজারে চা দোকানে কাপে হিন্দু মুসলিম চা খেয়ে যুগের যুগ বসবাস কারো মাথায় দেখি নাইস্কুল কলেজে পড়ার সময় হিন্দু মুসলিম বন্ধু একসাথে দুনিয়ার করেছি তারপরে বিছানায় ঘুমিয়ে পড়াশোনা শেষ করেছি হিন্দুদের দাওয়াতে মুসলিম এলাকাবাসী মুসলিমদের দাওয়াতেও স্বাভাবিকভাবে হিন্দুরা অংশ নিয়েছে করেনিঅফিসের ক্যান্টিনে সামাজিক অনুষ্ঠানে টেবিলে প্লেটে হিন্দু মুসলিম পাশাপাশি খাবার খাচ্ছি মুসলিম লোকটি গরু মাংশ খা,bully
33,বোকাচোদা এটেনশন সিকার,bully
34,বাকস্বাধীনতায় বিশ্বাসী৷ মতো পাঠকদের প্রশ্নের জবাব দিয়েছেন৷ পুরোটা পাবেন লিংকে,bully
35,বাকস্বাধীনতায় বিশ্বাসী৷ আসিফের বক্তব্যের একমত অবস্থান জানাতে চাইলে লিখতে লিংকে প্রতিবেদনের নিচে,bully
36,প্রিয় পাঠক বাকস্বাধীনতায় বিশ্বাসী৷ আসিফের বক্তব্যের একমত অবস্থান জানাতে চাইলে লিখতে লিংকে প্রতিবেদনের নিচে,bully
37,সেক্সি গার্ল,bully
38,তুই খালি দেশে আয় মাগি ব্যাখ্যা,bully
39,তুমিতো বাবা মার যায়েজ সহবাস হইছোকিন্তু দেখছো মিলনযদি দেখোতাহলে কিভাবে জন্মদাতা পিতামাতা হবেতুমিতো সানি লিওন জনি সিন্স মিলনেও হইছো কিনা সন্দেহ লাগে,bully
40,বারো রকমের ভাত রান্না পারলে বারো ভা রী বিশ ভাত রান্না চলছে,bully
41,পবিত্র আল কুরআনে আল্লাহ মুমিনগণ তোমরা ধারণা বেঁচে থাক নিশ্চয় কতক ধারণা গোনাহ গোপনীয় বিষয় সন্ধান করো তোমাদের পশ্চাতে নিন্দা তোমাদের মৃত ভ্রাতার মাংস ভক্ষণ পছন্দ বস্তূত তোমরা ঘৃণাই কর আল্লাহকে ভয় কর নিশ্চয় আল্লাহ্ তওবা কবুলকারী পরম দয়ালুসুরা হুজরাত আয়াত ১২ আয়াতেও পারস্পারিক হক সমাজিক নিয়ম নীতি ব্যক্ত এতেও তিনটি বিষয় হারাম এক জন্নুন কিছুর ঢালাও ধারনা তাজাছ্ছুছ অথাৎ গোপনীয় দোষ সন্ধান তিন গীবিত অথাৎ অনুপস্থিত ব্যক্তি সম্পর্কে কথা শুনলে অপছন্দ,bully
42,কারো আইডি হ্যাক আইসিটি অ্যাক্টে মামলা পারবেন ফেসবুক কতৃপক্ষকে রিপোর্ট সকলের আইডি বন্ধ পারবেন,bully
43,জামানা আসলো ফেইসবুকে জিহাদ,bully
44,ছ্যাচড়া ব্যাটা,bully
45,আপু লাল বেগুন নিয়া আসচেন,bully
46,ভুল থাকি মানে এখনো জানেন সিউর নন ভুল ক্ষমা চাচ্ছেন কেনো কার কাছেই ক্ষমা চাচ্ছেন দেখেননি ফিজিক্যাল এক্সিসটেন্স কেনোই ক্ষমা চাচ্ছেন শোনেন আল্লাহ অবশ্যই আপনাকে ক্ষমা মন অনুভব ভুল ক্ষমা মালিক আল্লাহ ছেড়ে,bully
47,নাতাশা মাল্কোভা,bully
